iter	RMSE
0	0.6885933692
1	0.6627482902
2	0.639887339
3	0.6194061914
4	0.6014998115
5	0.5852364591
6	0.5709649454
7	0.5571297242
8	0.5453415148
9	0.5351618976
10	0.5255309023
11	0.5168688291
12	0.5096411025
13	0.5029947629
14	0.4972316764
15	0.4918256939
16	0.4871769419
17	0.4830262544
18	0.4790564202
19	0.4746915155
20	0.470415742
21	0.4678468455
22	0.4641958308
23	0.4618786866
24	0.4590090728
25	0.456355306
26	0.454124918
27	0.4520517413
28	0.4504445818
29	0.4483092816
30	0.446718449
31	0.4450404219
32	0.4433162854
33	0.4412798131
34	0.4396919479
35	0.4382852698
36	0.4367325443
37	0.4358844759
38	0.4347865369
39	0.4334333167
40	0.4323011053
41	0.4315245463
42	0.430645332
43	0.42952139
44	0.4284466628
45	0.4278587842
46	0.4270621929
47	0.4263942973
48	0.425851507
49	0.4249418977
50	0.424031451
51	0.4232149702
52	0.4226076197
53	0.4219702298
54	0.4211187403
55	0.4207871361
56	0.419882503
57	0.4195142064
58	0.4190016447
59	0.4182140064
60	0.4177789052
61	0.4174543786
62	0.4168431283
63	0.4164581123
64	0.416027638
65	0.4156078694
66	0.4151761945
67	0.4147660122
68	0.4143044038
69	0.4138194824
70	0.4133215137
71	0.413009723
72	0.4124305595
73	0.4121898169
74	0.4118364594
75	0.4115740034
76	0.4111155295
77	0.4106662268
78	0.4101178573
79	0.4097027603
80	0.409381752
81	0.4091885107
82	0.408988046
83	0.4087899384
84	0.408465356
85	0.4082644969
86	0.4078773414
87	0.407709615
88	0.4073991713
89	0.4072478636
90	0.4070252112
91	0.4068081082
92	0.4066911902
93	0.4064925109
94	0.4061495956
95	0.4058109734
96	0.4054808521
97	0.4051993157
98	0.4048608061
99	0.4046437962
100	0.4043810119
101	0.4041669623
102	0.4040297607
103	0.4037145528
104	0.4035510857
105	0.403417465
106	0.4031536295
107	0.4030291528
108	0.4029207663
109	0.4027599122
110	0.4024083451
111	0.4022460836
112	0.4021012653
113	0.4019510787
114	0.4017577505
115	0.4016822496
116	0.4014112566
117	0.4011069932
118	0.4009968559
119	0.4008980505
120	0.4007774519
121	0.4005868005
122	0.4004629699
123	0.4003521847
124	0.4002414825
125	0.4001526777
126	0.3999063432
127	0.3997145747
128	0.3994199511
129	0.3992034377
130	0.3989126748
131	0.3986479887
132	0.3985313568
133	0.3983514861
134	0.3980989796
135	0.3978977091
136	0.3977292693
137	0.3975053477
138	0.3972343673
139	0.3970773709
140	0.3969777329
141	0.3968646097
142	0.3966063238
143	0.3964135181
144	0.3962626829
145	0.3961244817
146	0.3960151612
147	0.395728905
148	0.3955775617
149	0.3954857247
150	0.3952356818
151	0.3950649071
152	0.3949609214
153	0.3948406246
154	0.3947353716
155	0.3945260633
156	0.394440719
157	0.3943109514
158	0.394246176
159	0.394056024
160	0.3938949391
161	0.3937074158
162	0.3934761439
163	0.3932209902
164	0.3930357395
165	0.3928742133
166	0.3927093457
167	0.3925313488
168	0.3923785242
169	0.3922737693
170	0.3920702569
171	0.3919946292
172	0.3918973707
173	0.391824125
174	0.39163126
175	0.3915565965
176	0.3913646195
177	0.3912903906
178	0.391148589
179	0.3910064095
180	0.3908949374
181	0.3907380972
182	0.3906703014
183	0.3905449664
184	0.3904045399
185	0.3903229399
186	0.3902153962
187	0.390062752
188	0.3898801094
189	0.3897454124
190	0.3896392583
191	0.3895224335
192	0.3894540865
193	0.3893873002
194	0.3892295749
195	0.389125516
196	0.3890298116
197	0.3889458269
198	0.3888217227
199	0.3887089436
200	0.3886366401
201	0.3885820723
202	0.3885013825
203	0.3884360548
204	0.3883281907
205	0.3882068811
206	0.3880099513
207	0.3878266969
208	0.387738145
209	0.3876060033
210	0.3875110407
211	0.3874518844
212	0.387358423
213	0.3872350155
214	0.3871045249
215	0.3870025518
216	0.3868522266
217	0.3867545098
218	0.3866994878
219	0.3865550342
220	0.3864948236
221	0.3863910203
222	0.3862742082
223	0.3861499699
224	0.3860865089
225	0.386000413
226	0.3859241016
227	0.3858466939
228	0.3857431392
229	0.385665666
230	0.3855841396
231	0.3855271255
232	0.3854492524
233	0.3853730846
234	0.3853265979
235	0.3852614354
236	0.3851704399
237	0.3850777281
238	0.3849883349
239	0.3848388772
240	0.3847590205
241	0.3847027892
242	0.3846071427
243	0.3845586357
244	0.3845193706
245	0.3844374737
246	0.3843236676
247	0.3842313144
248	0.3841452928
249	0.3840868117
250	0.3840148586
251	0.3839508325
252	0.3838867085
253	0.3837921033
254	0.3836701779
255	0.3836338488
256	0.3835722807
257	0.3835045873
258	0.3834359481
259	0.3833936546
260	0.3833219321
261	0.3832365283
262	0.3831768484
263	0.3831169826
264	0.3830573351
265	0.3830090191
266	0.3829403358
267	0.3828662886
268	0.3827825151
269	0.3827015353
270	0.382639412
271	0.3825465142
272	0.3824736592
273	0.382435742
274	0.3823577945
275	0.3822755939
276	0.3822143745
277	0.3821405986
