iter	Passed	Remaining
0	145	145577
1	150	74910
2	154	51323
3	158	39486
4	162	32374
5	166	27587
6	170	24248
7	175	21733
8	179	19735
9	183	18137
10	187	16865
11	191	15790
12	195	14865
13	200	14105
14	204	13433
15	208	12833
16	212	12308
17	217	11861
18	222	11469
19	226	11089
20	230	10757
21	235	10449
22	239	10174
23	243	9919
24	248	9678
25	252	9454
26	256	9249
27	261	9066
28	265	8882
29	269	8714
30	273	8554
31	278	8418
32	282	8285
33	286	8137
34	290	8018
35	295	7912
36	299	7807
37	303	7693
38	308	7599
39	313	7521
40	318	7439
41	322	7366
42	327	7287
43	332	7219
44	336	7145
45	340	7070
46	345	6998
47	349	6933
48	354	6874
49	358	6813
50	363	6756
51	367	6703
52	372	6647
53	376	6597
54	380	6532
55	384	6481
56	389	6440
57	393	6394
58	398	6353
59	403	6315
60	407	6268
61	411	6230
62	417	6204
63	421	6169
64	426	6135
65	431	6102
66	435	6067
67	440	6043
68	445	6012
69	450	5982
70	455	5956
71	459	5924
72	464	5895
73	468	5863
74	473	5836
75	477	5811
76	482	5785
77	486	5749
78	490	5722
79	495	5693
80	499	5670
81	504	5647
82	509	5625
83	513	5603
84	518	5582
85	522	5556
86	527	5536
87	532	5514
88	536	5495
89	541	5475
90	545	5452
91	550	5434
92	554	5412
93	559	5391
94	564	5373
95	568	5353
96	573	5336
97	577	5318
98	582	5300
99	587	5283
100	591	5265
101	595	5246
102	600	5228
103	605	5213
104	609	5196
105	614	5181
106	618	5164
107	623	5147
108	627	5130
109	632	5118
110	637	5103
111	641	5084
112	645	5065
113	649	5047
114	654	5033
115	658	5020
116	663	5004
117	667	4990
118	672	4976
119	676	4962
120	681	4947
121	685	4933
122	690	4920
123	694	4908
124	699	4893
125	703	4880
126	708	4867
127	712	4856
128	717	4847
129	722	4835
130	726	4822
131	730	4805
132	735	4791
133	739	4778
134	743	4762
135	748	4754
136	753	4743
137	757	4732
138	761	4717
139	766	4707
140	770	4695
141	775	4683
142	779	4671
143	783	4659
144	788	4648
145	792	4636
146	797	4625
147	801	4615
148	806	4603
149	810	4592
150	815	4582
151	819	4573
152	824	4565
153	829	4556
154	834	4546
155	839	4540
156	843	4530
