iter	RMSE
0	0.6885933692
1	0.6628099686
2	0.6399514331
3	0.6194726735
4	0.6015661372
5	0.5852977674
6	0.57102533
7	0.5571913629
8	0.5454042034
9	0.5354951104
10	0.5255104287
11	0.517281967
12	0.5099125885
13	0.5033617206
14	0.497594041
15	0.4921078757
16	0.4865170795
17	0.4824224543
18	0.4782525402
19	0.4738393968
20	0.4695469576
21	0.4660583279
22	0.4626988031
23	0.4599927468
24	0.4578259531
25	0.455686414
26	0.4531040526
27	0.451414841
28	0.4497342407
29	0.4478165995
30	0.4458314953
31	0.4439121904
32	0.4424030274
33	0.4406028804
34	0.4392220078
35	0.4380422746
36	0.4366893389
37	0.4357699451
38	0.4348158676
39	0.4334982745
40	0.4323815259
41	0.4316243917
42	0.430722177
43	0.4302191524
44	0.4291211564
45	0.4282099922
46	0.4273538446
47	0.4265303253
48	0.4258807475
49	0.4251677064
50	0.4242094852
51	0.4235649418
52	0.4229837748
53	0.4221335689
54	0.4216889023
55	0.4212647644
56	0.4205982859
57	0.4199239462
58	0.4192969984
59	0.4184281473
60	0.4178920389
61	0.4174628014
62	0.4168877108
63	0.4164573872
64	0.4161379825
65	0.4154858223
66	0.4150703779
67	0.414689551
68	0.414182096
69	0.413838748
70	0.4135439703
71	0.4131557853
72	0.4126217502
73	0.412127901
74	0.4117703939
75	0.4115027804
76	0.4111394815
77	0.4107020827
78	0.4103103117
79	0.4100194191
80	0.4096362299
81	0.4094007512
82	0.4091868027
83	0.4089698455
84	0.408687247
85	0.4083794803
86	0.4079974047
87	0.4077673982
88	0.4075357075
89	0.4071165253
90	0.4068023534
91	0.4066328611
92	0.4065096066
93	0.4063573646
94	0.4061664739
95	0.4060188228
96	0.4059083833
97	0.4056409169
98	0.4053617159
99	0.4051237809
100	0.4048093181
101	0.404466598
102	0.4043226645
103	0.4041328358
104	0.4039910465
105	0.4038497056
106	0.403723342
107	0.4034417718
108	0.4032497955
109	0.4031021708
110	0.402848505
111	0.4026682651
112	0.4024921185
113	0.4023524312
114	0.402059436
115	0.4018878763
116	0.4015912653
117	0.4013349646
118	0.4011966553
119	0.4010613427
120	0.4009358052
121	0.4008181442
122	0.4007173477
123	0.4004455585
124	0.4003235644
125	0.4000669405
126	0.3998029596
127	0.3996121094
128	0.3995088487
129	0.3994123665
130	0.3992586019
131	0.3991144493
132	0.3990101145
133	0.3988109561
134	0.3985206633
135	0.398244668
136	0.3980431779
137	0.3979268155
138	0.3978476438
139	0.397670667
140	0.3975237588
141	0.3973511558
142	0.3971093685
143	0.396863897
144	0.3967437143
145	0.3965994277
146	0.396424545
147	0.3963100361
148	0.3961132315
149	0.3960248071
150	0.3958841305
151	0.3957448458
152	0.3955214558
153	0.3953438751
154	0.3951897466
155	0.3950600931
156	0.3949838474
157	0.3948585941
158	0.3946757167
