iter	Passed	Remaining
0	139	139208
1	144	72037
2	149	49601
3	154	38441
4	159	31682
5	163	27069
6	168	23899
7	173	21513
8	177	19596
9	183	18136
10	187	16889
11	192	15879
12	197	15011
13	202	14282
14	207	13626
15	212	13067
16	217	12575
17	222	12126
18	227	11723
19	231	11366
20	236	11038
21	241	10753
22	247	10504
23	252	10262
24	257	10027
25	262	9818
26	266	9614
27	271	9426
28	276	9256
29	281	9103
30	286	8959
31	292	8836
32	296	8701
33	302	8580
34	307	8468
35	312	8356
36	317	8265
37	322	8157
38	326	8057
39	332	7973
40	337	7883
41	342	7810
42	347	7744
43	353	7676
44	358	7609
45	363	7541
46	369	7484
47	374	7427
48	379	7368
49	384	7313
50	389	7241
51	394	7190
52	399	7140
53	405	7100
54	410	7044
55	414	6992
56	420	6949
57	425	6908
58	430	6864
59	435	6825
60	440	6779
61	445	6739
62	451	6712
63	456	6677
64	461	6643
65	467	6612
66	471	6569
67	476	6529
68	481	6498
69	486	6465
70	492	6439
71	496	6402
72	501	6373
73	507	6345
74	512	6322
75	518	6298
76	523	6271
77	528	6249
78	534	6226
79	538	6197
80	544	6174
81	549	6152
82	554	6129
83	559	6105
84	564	6081
85	570	6061
86	575	6039
87	580	6019
88	585	5995
89	590	5968
90	595	5951
91	601	5931
92	606	5911
93	610	5888
94	616	5870
95	621	5850
96	626	5831
97	631	5814
98	637	5799
99	642	5781
100	647	5758
101	652	5741
102	656	5721
103	662	5704
104	666	5683
105	671	5665
106	676	5648
107	681	5631
108	687	5618
109	692	5601
110	698	5591
111	703	5576
112	709	5566
113	714	5553
114	720	5545
115	726	5539
116	732	5530
117	738	5523
118	745	5520
119	752	5517
120	758	5510
121	764	5502
122	770	5494
123	777	5493
124	783	5483
125	789	5476
126	796	5472
127	805	5490
128	812	5484
129	818	5476
130	823	5463
131	829	5452
132	835	5443
133	840	5434
134	847	5427
135	853	5420
136	859	5413
137	865	5405
138	871	5397
139	877	5387
140	882	5374
141	888	5366
142	894	5362
143	900	5353
144	906	5344
145	911	5333
146	917	5324
147	923	5314
148	929	5306
149	934	5298
150	940	5289
151	946	5278
152	951	5267
153	957	5259
154	963	5252
155	968	5242
156	974	5232
157	979	5220
158	985	5210
159	990	5200
160	996	5191
161	1002	5183
162	1007	5171
163	1011	5158
164	1017	5148
165	1022	5137
166	1027	5126
167	1033	5117
168	1039	5110
169	1044	5101
170	1050	5094
171	1056	5084
172	1061	5074
173	1067	5065
174	1072	5055
175	1077	5044
176	1082	5035
177	1088	5026
178	1093	5016
179	1098	5003
180	1103	4994
181	1109	4984
182	1113	4972
183	1118	4962
184	1123	4949
185	1128	4940
186	1134	4931
187	1139	4921
188	1144	4912
189	1150	4903
190	1155	4895
191	1161	4889
192	1166	4879
193	1171	4868
194	1176	4858
195	1182	4850
196	1187	4841
197	1192	4830
198	1197	4820
199	1202	4811
200	1207	4800
201	1212	4791
202	1217	4781
203	1222	4771
204	1228	4764
205	1233	4755
206	1238	4745
207	1243	4736
208	1249	4727
209	1254	4719
210	1259	4710
211	1265	4704
212	1270	4695
213	1276	4688
214	1281	4679
215	1287	4671
216	1292	4663
217	1297	4653
218	1302	4644
219	1307	4636
220	1313	4629
221	1318	4621
222	1324	4614
223	1330	4608
224	1335	4599
225	1340	4592
226	1346	4584
227	1351	4577
228	1356	4567
229	1361	4559
230	1367	4553
231	1373	4545
232	1378	4537
233	1383	4528
234	1388	4520
235	1394	4513
236	1399	4505
237	1404	4498
238	1410	4489
239	1415	4482
240	1420	4474
241	1426	4467
242	1431	4459
243	1436	4452
244	1442	4446
245	1448	4438
246	1452	4429
247	1457	4420
248	1462	4411
249	1467	4403
250	1472	4395
251	1478	4388
252	1483	4380
253	1488	4373
254	1493	4364
255	1498	4354
256	1503	4345
257	1508	4337
258	1513	4329
259	1518	4322
260	1523	4314
261	1528	4306
262	1533	4297
263	1539	4290
264	1544	4282
265	1549	4274
266	1554	4266
267	1559	4260
268	1565	4254
269	1572	4250
270	1578	4245
271	1583	4237
272	1588	4229
273	1593	4221
274	1598	4213
275	1602	4204
276	1608	4197
277	1612	4188
278	1618	4181
279	1623	4173
280	1628	4166
281	1632	4157
282	1637	4149
283	1642	4141
284	1648	4135
285	1653	4127
286	1659	4123
287	1666	4119
288	1673	4117
289	1680	4113
290	1686	4109
291	1693	4105
292	1698	4099
293	1703	4090
294	1708	4082
295	1712	4073
296	1717	4065
297	1723	4059
298	1728	4053
299	1734	4046
300	1739	4039
301	1744	4031
302	1748	4022
303	1753	4015
